Task,Hours_Estimate,Percent_Complete,Start_Date,End_Date,Duration_Days,Status,Notes
Establish Console Link,3.0,0.5,2025-10-30,2025-10-30,1,In Progress,Running into minor technical difficulties
Export Users,0.16666666666666666,1.0,Completed,Completed,0,Complete,User file sent to Russ to create Users
Load Users,1.0,0.0,2025-10-30,2025-10-30,1,Not Started,Russ creating users must be done before loading any additional data
Export Companies,0.5,0.0,2025-10-31,2025-10-31,1,Not Started,
Map Companies,2.0,0.0,2025-10-31,2025-11-02,1,Not Started,
Load Companies,2.0,0.0,2025-11-03,2025-11-03,1,Not Started,
Export Contacts,0.5,0.0,2025-11-03,2025-11-03,1,Not Started,
Map Contacts,2.0,0.0,2025-11-04,2025-11-04,1,Not Started,
Load Contacts,2.0,0.0,2025-11-04,2025-11-05,2,Not Started,
Export Jobs,0.5,0.0,2025-11-05,2025-11-05,1,Not Started,
Map Jobs,2.0,0.0,2025-11-05,2025-11-06,2,Not Started,
Load Jobs,2.0,0.0,2025-11-06,2025-11-07,2,Not Started,
Export Candidates,0.5,0.0,2025-11-07,2025-11-07,1,Not Started,
Map Candidates,2.0,0.0,2025-11-07,2025-11-10,2,Not Started,
Load Candidates,2.0,0.0,2025-11-10,2025-11-11,2,Not Started,
Export Candidate Files,1.0,0.0,2025-11-11,2025-11-11,1,Not Started,
Attach Candidate Files via console,1.0,0.0,2025-11-11,2025-11-11,1,Not Started,
